Dim,,feature,iv,importance,target_corr
信用卡账户授信,10,baseV0600003StartYearCnt,0.07311924355635085,0.037548633824960695,-0.008431248
信用卡账户授信,11,baseV03007MobileCnt,0.035613862407077417,0.03633535568601014,-0.009493598
信用卡账户授信,12,baseV05004ResdMtypeOwn,0.030137176704726633,0.03486147309145613,-0.019598312
信用卡账户授信,13,baseV05005ResdMtypeOth,0.014352301045838881,0.0296815719723949,-0.026736221
信用卡账户授信,14,baseV05011ResdTypeC5,0.014021448626578831,0.02818803999074261,-0.028862822
信用卡账户授信,15,baseV0500005AddressCnt,0.010894263298075635,0.027057335214346823,-0.036779877
信用卡账户授信,16,baseV05017ResdTypeCna,0.01036298285505483,0.020088531529009596,-0.04108892
信用卡账户授信,17,baseV0500034ResidenceTypeCnt,0.007965589687395292,0.015160939271682583,-0.0718725
信用卡账户授信,18,baseV0300000AddressIsConsistent,0.0056396427556175705,0.010190812985766367,-0.099102686
信用卡账户授信,19,baseV04002SpsCerttype,0.00477418160920592,0.004348188754018094,-0.099302139
信用卡账户授信,20,baseV0500041ResidenceTypeCnt,0.0029061902996771784,0.003258645682186612,-0.103179003
信用卡账户授信,21,baseV05007ResdTypeC1,0.0003286739022626567,0.00047824841394841127,-0.137034894
